@relation 'ctc'
@attribute TP_FP real
@attribute FEATURE_1 real
@attribute FEATURE_2 real
@attribute FEATURE_3 real
@data
1,-74.723,6.26911,0.74222
1,-74.3407,9.83011,0.930016
1,-72.8665,14.5722,1.458
1,-70.209,-6.22818,5.18809
1,-27.6582,-7.46214,2.57888
1,-76.2972,11.61,5.51573
1,-39.2765,-7.37547,-0.347491
1,-20.1178,-6.11209,-4.98101
1,-40.4361,-8.16498,-3.88897
1,-29.0492,-8.06145,-1.67273
1,-8.6389,5.32726,-0.784359
1,-75.6168,9.59406,-8.94629
1,-68.6848,8.88387,-7.31416
1,-19.8777,-10.2582,-2.20758
1,-5.29077,-4.01695,0.833322
1,6.08346,-1.49243,0.841245
1,-57.6174,17.585,-7.58252
1,-52.6992,-11.0208,9.35453
1,-26.7098,-5.65311,1.20596
1,-17.788,-3.21882,2.07748
1,19.1379,6.69627,1.49097
1,18.3263,8.39503,1.22222
1,21.7527,13.0489,6.50886
1,22.0288,10.9366,5.12653
1,20.0116,10.5426,2.31563
1,19.2014,8.6441,2.90156
1,22.9925,8.15596,4.83095
1,22.1656,13.4075,8.48753
1,29.3561,-24.1108,-11.7622
1,-28.9208,22.3945,-16.772
1,-51.5889,-19.7051,9.81995
1,10.8152,-4.16615,0.834411
1,36.1566,5.53439,4.0249
1,36.1794,6.07158,3.39109
1,36.3338,8.19618,3.80336
1,37.4608,14.9771,5.2219
1,36.5162,11.9687,5.64188
1,29.2119,10.3147,3.55065
1,-47.6901,-26.765,16.6895
1,38.1148,8.66979,5.30555
1,37.6817,8.11076,4.44136
1,37.8042,7.47371,5.25908
1,37.8082,14.2671,6.34521
1,33.953,15.1897,9.66501
1,25.016,17.2472,7.73927
1,-51.0822,-27.098,11.6774
1,38.9133,5.35994,-0.437667
1,39.3565,4.64494,-1.49732
1,39.2123,8.47928,-0.32576
1,37.526,20.159,3.99606
1,32.1763,27.3487,9.07096
1,39.5226,5.53867,-2.62356
1,39.9683,8.4684,1.75983
1,39.9227,21.8694,1.98567
1,45.237,32.5649,0.358543
1,52.5692,23.9595,-1.95394
1,40.9671,9.81032,3.51726
1,40.3728,19.8361,6.13982
1,44.2275,33.4154,5.52983
1,59.3366,27.5071,-3.65269
1,41.2208,15.5789,3.58264
1,39.02,26.7028,2.56449
1,48.6927,31.7874,0.938908
1,40.3376,18.9443,3.82933
1,36.6826,29.1521,0.542663
1,44.5537,26.837,-2.97452
1,37.3139,22.9483,4.0877
1,33.6443,27.2445,1.31283
1,31.8535,25.4932,3.3105
1,32.2081,-18.564,8.75984
1,25.9121,-20.657,0.695271
1,-22.9687,14.9559,-14.8457
1,-33.6167,-25.5953,9.26995
1,-50.6834,-26.5631,1.99252
1,-62.7811,-22.6884,-5.11712
1,6.45671,-4.56023,2.86526
1,38.8587,7.71977,3.78794
1,39.5051,6.24573,2.88753
1,40.4826,5.02543,3.23395
1,42.9301,11.1296,3.25199
1,46.1613,9.84316,4.06664
1,45.5321,10.1472,3.42519
1,39.1405,13.8476,2.56539
1,29.9441,14.3586,3.18691
1,-38.7263,-20.7574,20.3998
1,38.4921,8.15587,3.27859
1,44.0148,11.884,5.48584
1,45.6638,14.0015,7.15603
1,43.0566,16.9002,5.51118
1,35.1523,15.5518,2.49714
1,-39.878,-26.8101,14.7506
1,38.0105,-7.03347,2.23429
1,40.5989,-5.1509,3.68895
1,43.1688,8.56953,0.6013
1,45.5853,20.868,5.6389
1,46.0033,28.9242,7.03241
1,40.9223,31.7319,5.82953
1,30.9091,29.6888,2.43911
1,-45.4563,-32.7895,3.89297
1,40.4727,-7.11583,2.34366
1,42.743,7.71372,-2.68364
1,45.916,24.3142,0.232804
1,54.1154,37.8584,0.751563
1,59.0626,35.2468,-3.06156
1,54.2292,28.7785,-6.69576
1,50.7863,21.7455,-9.32101
1,-57.5231,-32.7964,-1.98665
1,44.1725,10.7749,2.30665
1,52.1323,36.2194,0.791933
1,65.3403,34.8178,-8.1922
1,49.0369,24.2894,-22.8894
1,-66.0237,-27.3843,2.25946
1,45.5769,15.0491,5.06698
1,46.2685,25.3589,3.1232
1,55.0212,34.9724,-2.50226
1,56.194,25.899,-18.8218
1,-67.9772,-21.8576,-3.54848
1,45.6835,16.0651,3.94628
1,46.4358,24.8956,1.58555
1,51.7221,30.9294,-4.58776
1,42.7018,-24.9643,22.2054
1,-64.0402,-20.6857,-4.79508
1,45.2021,18.8819,1.91783
1,46.6495,21.6622,0.402744
1,44.8693,24.2957,-4.29444
1,-55.9326,-16.3026,-0.617436
1,44.7529,21.2896,-0.0735013
1,45.1117,18.2741,-0.983071
1,37.4318,13.8563,-0.545425
1,41.8645,23.8122,-1.49452
1,39.8905,18.4195,-0.577604
1,28.3197,9.02891,2.11061
1,35.6011,26.407,-8.64954
1,32.8848,20.5864,-9.85055
1,33.9556,26.3968,-16.6864
1,30.7122,-19.7313,19.3743
1,-23.8,17.1797,10.2359
1,-29.3563,7.20919,-4.53816
1,-34.386,-25.6965,0.497499
1,-49.4329,-32.397,-5.22063
1,-64.933,-24.7053,-7.5058
1,-67.7861,-15.8615,-5.70418
1,-9.72939,8.23601,-3.0569
1,32.2616,10.5364,2.4984
1,32.2882,7.63812,0.495352
1,32.8418,3.13014,1.68284
1,35.1552,6.55865,1.32833
1,40.2402,5.45029,2.17321
1,45.4527,6.3603,2.34756
1,46.5062,9.76368,2.29722
1,42.05,10.9951,0.919298
1,37.0617,13.2394,-1.55788
1,31.5274,16.6624,-1.80362
1,-36.4788,21.8527,3.02053
1,29.7277,9.88393,0.504484
1,45.8067,13.3301,2.00964
1,39.4992,8.59218,0.428811
1,33.5818,6.06953,-1.12004
1,-37.8598,16.2499,-4.04829
1,27.5335,-11.2837,0.0802052
1,47.941,28.0619,0.977043
1,41.644,28.4131,-1.61977
1,35.4224,21.1487,-1.79584
1,31.2247,8.57358,2.52713
1,-41.1815,-14.109,4.97889
1,29.3886,-11.0721,0.338685
1,57.4936,26.2477,-10.7776
1,49.5671,29.1366,-14.3216
1,44.2751,29.9221,-10.9884
1,-44.7464,-27.261,-1.36319
1,33.9716,10.439,1.19062
1,56.6924,-24.8847,8.71137
1,37.3604,-32.7435,-6.61392
1,-38.3576,24.9578,-0.116309
1,-50.9252,-33.9264,-0.532242
1,36.8069,12.1993,5.42901
1,61.4992,-24.1726,13.2057
1,-49.332,38.0262,-17.6678
1,-59.8929,-29.8824,-8.94522
1,38.0183,11.1032,2.58062
1,53.8422,-28.2541,14.6266
1,-57.8259,28.4502,-14.0343
1,-64.2087,-24.1635,-3.64351
1,39.1131,12.6731,-0.740289
1,51.1558,18.935,-7.70575
1,49.7583,23.7056,-22.9173
1,-63.9137,-16.1156,8.36576
1,41.835,14.2375,-3.0085
1,47.5828,10.7665,-2.54795
1,49.1464,10.6704,-1.29386
1,43.0663,27.8229,-5.89992
1,45.3091,30.7989,-8.65117
