Name	Activity	SsCH3	SdCH2	SssCH2	SdsCH	SaaCH	SsssCH	SdssC	SaasC	SaaaC	SssssC	SsNH2	SssNH2p	SssNH	SaaNH	SsssNHp	SdsN	SaaN	SsssN	SddsN	SsOH	SdO	SssO	SaaO	SsF	SssS	SsCl	SsBr	SsI	SsCH3_acnt	SdCH2_acnt	SssCH2_acnt	SdsCH_acnt	SaaCH_acnt	SsssCH_acnt	SdssC_acnt	SaasC_acnt	SaaaC_acnt	SssssC_acnt	SsNH2_acnt	SssNH2p_acnt	SssNH_acnt	SaaNH_acnt	SsssNHp_acnt	SdsN_acnt	SaaN_acnt	SsssN_acnt	SddsN_acnt	SsOH_acnt	SdO_acnt	SssO_acnt	SaaO_acnt	SsF_acnt	SssS_acnt	SsCl_acnt	SsBr_acnt	SsI_acnt	x0	x1	x2	xp3	xp4	xp5	xp6	xp7	xp8	xp9	xp10	xc3	xc4	xpc4	xch3	xch4	xch5	xch6	xch7	xch8	xch9	xch10	xv0	xv1	xv2	xvp3	xvp4	xvp5	xvp6	xvp7	xvp8	xvp9	xvp10	xvc3	xvc4	xvpc4	xvch3	xvch4	xvch5	xvch6	xvch7	xvch8	xvch9	xvch10	SHsOH	SHsNH2	SHssNH	SHother	Hmax	Gmax	Hmin	Gmin	Hmaxpos	SHBint2	SHBint3	SHBint4	SHBint5	SHBint2_Acnt	SHBint3_Acnt	SHBint4_Acnt	SHBint5_Acnt	SHBint6_Acnt	SHBint7_Acnt	SHBint8_Acnt	SHBint9_Acnt	SHBint10_Acnt	k0	k1	k2	k3	ka1	ka2	ka3	LogP	LD50	fw	nvx	nelem	nrings	ncirc	phia	knotp	knotpv	numHBa	numHBd	SHHBd	SHBa	Qs	Qsv	Qv	ABSQ	ABSQon	MaxHp	MaxNeg	MaxQp	Polarizability	Chiral_Flag
BABN2_1_P_GM	1.000000e+03	0.000000e+00	0.000000e+00	7.253700e+00	0.000000e+00	2.043930e+01	1.671400e+00	7.890000e-02	2.201800e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.295900e+00	0.000000e+00	1.738600e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.248720e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	1.000000e+01	3.000000e+00	1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.600000e+01	3.251250e+01	2.976940e+01	2.963840e+01	3.138960e+01	3.419100e+01	3.017410e+01	3.115220e+01	3.039230e+01	2.963740e+01	2.859510e+01	4.136400e+00	0.000000e+00	1.234970e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.917000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	7.700000e+01	4.275070e+01	3.862740e+01	3.764960e+01	3.909020e+01	4.184860e+01	3.641450e+01	3.764620e+01	3.695280e+01	3.631440e+01	3.519120e+01	5.403300e+00	0.000000e+00	1.567280e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.249000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.831800e+00	1.979170e+01	1.831800e+00	1.248720e+01	5.462000e-01	7.890000e-02	1.831800e+00	2.287380e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.073410e+01	1.836730e+01	8.792200e+00	4.646400e+00	1.649580e+01	7.505200e+00	3.831300e+00	4.917900e+00	6.527500e+00	3.354692e+02	2.500000e+01	4.000000e+00	4.000000e+00	5.000000e+00	4.952200e+00	-8.213200e+00	-1.026950e+01	2.000000e+00	1.000000e+00	1.831800e+00	1.578310e+01	9.523100e+00	9.015000e-01	1.241800e+00	3.709500e+00	9.718000e-01	2.147000e-01	-4.415000e-01	2.429000e-01	1.044900e+01	0.000000e+00
BABN2_3_P_GM	7.170000e+02	0.000000e+00	0.000000e+00	6.629600e+00	0.000000e+00	1.513250e+01	1.232100e+00	-3.074000e-01	9.026000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.092800e+00	0.000000e+00	1.651100e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.957770e+01	1.258920e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	8.000000e+00	3.000000e+00	1.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.000000e+01	3.524450e+01	3.323230e+01	3.343770e+01	3.499660e+01	3.731160e+01	3.307040e+01	3.372300e+01	3.305630e+01	3.312910e+01	3.294560e+01	5.286600e+00	0.000000e+00	1.599200e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.797000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	8.900000e+01	4.822290e+01	4.501870e+01	4.452770e+01	4.534180e+01	4.699720e+01	4.097930e+01	4.166720e+01	4.083900e+01	4.113640e+01	4.107570e+01	7.509200e+00	0.000000e+00	2.237280e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.194000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	5.409500e+00	0.000000e+00	1.913100e+00	1.812740e+01	2.727900e+00	1.258920e+01	5.681000e-01	-3.451000e-01	2.727900e+00	2.408440e+01	2.668180e+01	3.434230e+01	0.000000e+00	1.000000e+00	1.000000e+00	2.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.563650e+01	2.028000e+01	9.212000e+00	4.775500e+00	1.831970e+01	7.903800e+00	3.964500e+00	3.667200e+00	1.869100e+00	3.674680e+02	2.700000e+01	4.000000e+00	4.000000e+00	5.000000e+00	5.362800e+00	-1.070540e+01	-1.486360e+01	4.000000e+00	3.000000e+00	7.322600e+00	3.525970e+01	8.066200e+00	7.469000e-01	1.045600e+00	4.835600e+00	1.720100e+00	2.208000e-01	-4.316000e-01	2.429000e-01	1.044900e+01	0.000000e+00
BABN2_4_P_GM	3.530000e+01	1.489200e+00	0.000000e+00	6.771500e+00	0.000000e+00	1.573270e+01	1.321100e+00	-2.167000e-01	1.905800e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.172500e+00	0.000000e+00	1.673300e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.026620e+01	1.276060e+01	5.123700e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	8.000000e+00	3.000000e+00	1.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.200000e+01	3.631030e+01	3.417570e+01	3.469570e+01	3.636870e+01	3.855840e+01	3.442270e+01	3.494100e+01	3.430640e+01	3.392580e+01	3.432210e+01	5.384000e+00	0.000000e+00	1.663900e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.797000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	9.100000e+01	4.966100e+01	4.615200e+01	4.618260e+01	4.735940e+01	4.867530e+01	4.295520e+01	4.333880e+01	4.269030e+01	4.213660e+01	4.282870e+01	7.555100e+00	0.000000e+00	2.311370e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.194000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	2.735900e+00	0.000000e+00	1.917200e+00	1.897180e+01	2.735900e+00	1.276060e+01	5.695000e-01	-2.167000e-01	2.735900e+00	2.446460e+01	0.000000e+00	3.491220e+01	0.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.751010e+01	2.124040e+01	9.871300e+00	5.023800e+00	1.927440e+01	8.534400e+00	4.205300e+00	3.709000e+00	1.354100e+00	3.814948e+02	2.800000e+01	4.000000e+00	4.000000e+00	5.000000e+00	5.874900e+00	-1.125500e+01	-1.555860e+01	4.000000e+00	2.000000e+00	4.653100e+00	3.132310e+01	9.146700e+00	8.167000e-01	1.143300e+00	4.810300e+00	1.707700e+00	2.208000e-01	-4.316000e-01	2.429000e-01	1.122300e+01	0.000000e+00
BABN2_5_P_GM	5.730000e+01	1.613000e+00	0.000000e+00	7.086000e+00	0.000000e+00	1.827440e+01	1.540400e+00	-1.200000e-02	2.687500e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.290600e+00	0.000000e+00	1.717800e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.278690e+01	5.348700e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	9.000000e+00	3.000000e+00	1.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.000000e+01	3.494430e+01	3.245560e+01	3.287800e+01	3.481700e+01	3.702370e+01	3.260570e+01	3.335420e+01	3.297090e+01	3.298470e+01	3.258970e+01	4.814100e+00	0.000000e+00	1.490880e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.855000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	8.500000e+01	4.692500e+01	4.294610e+01	4.270240e+01	4.462250e+01	4.623310e+01	4.000990e+01	4.074210e+01	4.056980e+01	4.082290e+01	4.040080e+01	6.497800e+00	0.000000e+00	1.969450e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.221000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.885300e+00	1.988290e+01	1.885300e+00	1.278690e+01	5.599000e-01	-1.200000e-02	1.885300e+00	2.410760e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.563650e+01	2.028000e+01	9.666900e+00	4.950700e+00	1.835780e+01	8.340700e+00	4.131400e+00	4.611900e+00	6.543500e+00	3.654955e+02	2.700000e+01	4.000000e+00	4.000000e+00	5.000000e+00	5.671000e+00	-1.009470e+01	-1.319670e+01	3.000000e+00	1.000000e+00	1.885300e+00	2.142630e+01	9.918800e+00	8.957000e-01	1.245000e+00	4.256000e+00	1.349900e+00	2.208000e-01	-4.365000e-01	2.429000e-01	1.122300e+01	0.000000e+00
BABN2_6_P_GM	2.370000e+02	1.628400e+00	0.000000e+00	7.119100e+00	0.000000e+00	1.822040e+01	1.569600e+00	1.710000e-02	2.822700e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.291700e+00	0.000000e+00	1.721600e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.269980e+01	5.243000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	9.000000e+00	3.000000e+00	1.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.000000e+01	3.489380e+01	3.220480e+01	3.202480e+01	3.388560e+01	3.702940e+01	3.285580e+01	3.352520e+01	3.230650e+01	3.196140e+01	3.183840e+01	4.689800e+00	0.000000e+00	1.367130e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.855000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	8.500000e+01	4.688910e+01	4.267440e+01	4.139100e+01	4.293340e+01	4.633120e+01	4.057650e+01	4.123920e+01	3.971490e+01	3.949320e+01	3.951880e+01	6.361700e+00	0.000000e+00	1.780200e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.221000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.869200e+00	1.995020e+01	1.869200e+00	1.269980e+01	5.575000e-01	1.710000e-02	1.869200e+00	2.373830e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.563650e+01	2.028000e+01	9.666900e+00	5.135800e+00	1.835780e+01	8.340700e+00	4.291800e+00	4.696200e+00	6.763300e+00	3.654955e+02	2.700000e+01	4.000000e+00	4.000000e+00	5.000000e+00	5.671000e+00	-8.981500e+00	-1.144030e+01	3.000000e+00	1.000000e+00	1.869200e+00	2.123440e+01	9.918800e+00	8.957000e-01	1.245000e+00	4.154900e+00	1.340100e+00	2.153000e-01	-4.361000e-01	2.429000e-01	1.122300e+01	0.000000e+00
BBP_P_GM	1.900000e+00	3.074800e+00	0.000000e+00	4.588900e+00	0.000000e+00	1.018810e+01	1.242000e-01	-1.635000e-01	3.080100e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.122000e+00	0.000000e+00	1.443300e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.280760e+01	1.070110e+01	0.000000e+00	1.303790e+01	0.000000e+00	0.000000e+00	3.412100e+00	0.000000e+00	2.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	6.000000e+00	1.000000e+00	1.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	6.000000e+01	3.455770e+01	3.180560e+01	3.057680e+01	3.113360e+01	3.193790e+01	2.497280e+01	2.332320e+01	2.126220e+01	2.024420e+01	2.051100e+01	5.073300e+00	0.000000e+00	1.388540e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.110000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.425930e+01	4.964770e+01	4.520050e+01	4.302150e+01	4.313630e+01	4.345020e+01	3.343140e+01	3.101800e+01	2.780270e+01	2.619440e+01	2.649740e+01	7.587800e+00	0.000000e+00	2.080020e+01	0.000000e+00	0.000000e+00	0.000000e+00	-1.601000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.931200e+00	1.606540e+01	1.931200e+00	1.303790e+01	7.642000e-01	-2.085000e-01	1.931200e+00	2.473420e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.000000e+00	3.811220e+01	2.268000e+01	1.085780e+01	6.250000e+00	2.107810e+01	9.713900e+00	5.465800e+00	4.045900e+00	2.662900e+00	4.523435e+02	2.800000e+01	6.000000e+00	3.000000e+00	3.000000e+00	7.312500e+00	-8.812000e+00	-1.321250e+01	5.000000e+00	1.000000e+00	1.931200e+00	3.966870e+01	7.877800e+00	7.536000e-01	1.075200e+00	4.798700e+00	1.697200e+00	2.207000e-01	-4.331000e-01	2.394000e-01	1.298400e+01	0.000000e+00
CLEBOPRIDE_P_GM	1.420000e+01	1.518700e+00	0.000000e+00	5.027500e+00	0.000000e+00	1.367930e+01	1.695000e-01	-1.664000e-01	2.976400e+00	0.000000e+00	0.000000e+00	5.781600e+00	0.000000e+00	3.109200e+00	0.000000e+00	1.550700e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.263130e+01	5.271300e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.061800e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	7.000000e+00	1.000000e+00	1.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	5.600000e+01	3.217640e+01	2.932260e+01	2.787970e+01	2.770510e+01	2.881640e+01	2.279970e+01	2.028500e+01	1.889560e+01	1.822180e+01	1.744500e+01	4.494900e+00	0.000000e+00	1.216040e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.172000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.277780e+01	4.496840e+01	4.076670e+01	3.844830e+01	3.811820e+01	3.894970e+01	3.069260e+01	2.666220e+01	2.441800e+01	2.350930e+01	2.243910e+01	6.532000e+00	0.000000e+00	1.768030e+01	0.000000e+00	0.000000e+00	0.000000e+00	-1.629000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.681000e+00	1.902100e+00	1.554820e+01	1.902100e+00	1.263130e+01	7.314000e-01	-1.664000e-01	1.902100e+00	2.402640e+01	1.019010e+01	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.438110e+01	2.072700e+01	9.972300e+00	5.750000e+00	1.901420e+01	8.752400e+00	4.913500e+00	4.345500e+00	6.357400e+00	3.748904e+02	2.600000e+01	5.000000e+00	3.000000e+00	3.000000e+00	6.400800e+00	-7.665500e+00	-1.114830e+01	5.000000e+00	2.000000e+00	3.583200e+00	3.285540e+01	8.079000e+00	8.167000e-01	1.159300e+00	4.724100e+00	1.613900e+00	2.200000e-01	-4.350000e-01	2.386000e-01	1.199000e+01	0.000000e+00
DMABN1_P_GM	1.650000e+01	1.469800e+00	0.000000e+00	6.243200e+00	0.000000e+00	1.174960e+01	1.063800e+00	-2.579000e-01	1.378700e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.130400e+00	0.000000e+00	1.553300e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.025910e+01	1.275700e+01	5.107600e+00	0.000000e+00	1.321200e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	7.000000e+00	3.000000e+00	1.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.400000e+01	3.762580e+01	3.567650e+01	3.585110e+01	3.744140e+01	4.017100e+01	3.577500e+01	3.627440e+01	3.651400e+01	3.598420e+01	3.700890e+01	5.849300e+00	0.000000e+00	1.739430e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.735000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	9.900000e+01	5.277090e+01	4.937360e+01	4.840680e+01	4.920980e+01	5.138090e+01	4.518420e+01	4.529540e+01	4.584830e+01	4.494530e+01	4.650620e+01	8.551200e+00	0.000000e+00	2.461950e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.166000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	2.743500e+00	0.000000e+00	1.931200e+00	1.869650e+01	2.743500e+00	1.321200e+01	5.865000e-01	-2.579000e-01	2.743500e+00	2.463690e+01	0.000000e+00	3.499870e+01	0.000000e+00	1.000000e+00	0.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.000000e+00	3.939920e+01	2.220310e+01	1.008000e+01	5.257800e+00	2.016490e+01	8.712800e+00	4.405300e+00	3.593800e+00	1.654500e+00	3.994853e+02	2.900000e+01	5.000000e+00	4.000000e+00	5.000000e+00	6.058300e+00	-1.154500e+01	-1.606830e+01	5.000000e+00	2.000000e+00	4.674700e+00	4.446610e+01	8.051000e+00	7.100000e-01	1.000400e+00	4.975700e+00	1.708400e+00	2.208000e-01	-4.316000e-01	2.437000e-01	1.113200e+01	0.000000e+00
DMAM23_1_26_GM	3.500000e+00	3.192100e+00	0.000000e+00	1.469660e+01	0.000000e+00	5.496000e+00	2.612700e+00	-4.210000e-02	1.685900e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.326200e+00	0.000000e+00	1.854300e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.302540e+01	1.081950e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	0.000000e+00	1.100000e+01	0.000000e+00	3.000000e+00	4.000000e+00	1.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.400000e+01	3.737620e+01	3.514180e+01	3.612570e+01	3.833980e+01	4.035980e+01	3.546210e+01	3.613940e+01	3.544360e+01	3.559870e+01	3.594540e+01	5.491800e+00	0.000000e+00	1.747980e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.797000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	8.700000e+01	4.789510e+01	4.478750e+01	4.572560e+01	4.790950e+01	4.906010e+01	4.269680e+01	4.315120e+01	4.218550e+01	4.229380e+01	4.278650e+01	7.429500e+00	0.000000e+00	2.349410e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.492000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.901200e+00	1.637840e+01	1.901200e+00	1.302540e+01	4.520000e-01	-4.210000e-02	1.901200e+00	2.476330e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.939920e+01	2.220310e+01	1.054340e+01	5.257800e+00	2.098080e+01	9.692000e+00	4.739400e+00	5.616100e+00	4.010200e+00	4.015694e+02	2.900000e+01	4.000000e+00	4.000000e+00	5.000000e+00	7.011900e+00	-1.198800e+01	-1.606460e+01	4.000000e+00	1.000000e+00	1.901200e+00	2.717100e+01	1.139280e+01	9.821000e-01	1.375000e+00	4.742200e+00	1.692200e+00	2.209000e-01	-4.316000e-01	2.399000e-01	1.431900e+01	0.000000e+00
DMAM23_1_31_GM	1.800000e+00	3.169100e+00	0.000000e+00	6.864000e+00	0.000000e+00	2.090650e+01	1.367600e+00	-7.700000e-02	3.019300e+00	2.610900e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.310600e+00	0.000000e+00	1.695400e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.312400e+01	1.084300e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.000000e+00	0.000000e+00	6.000000e+00	0.000000e+00	1.000000e+01	3.000000e+00	1.000000e+00	4.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.400000e+01	4.377510e+01	4.189560e+01	4.359280e+01	4.671930e+01	5.012800e+01	4.479280e+01	4.654920e+01	4.803420e+01	5.059490e+01	5.146140e+01	6.716600e+00	0.000000e+00	2.131970e+01	0.000000e+00	0.000000e+00	0.000000e+00	-3.417000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	-4.490000e-02	1.070000e+02	6.002740e+01	5.675310e+01	5.845040e+01	6.188410e+01	6.507510e+01	5.728690e+01	5.902210e+01	6.077610e+01	6.380400e+01	6.432350e+01	9.336500e+00	0.000000e+00	2.941570e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.616000e-01	0.000000e+00	-5.440000e-02	0.000000e+00	-2.980000e-02	0.000000e+00	0.000000e+00	1.937800e+00	2.309810e+01	1.937800e+00	1.312400e+01	5.894000e-01	-7.700000e-02	1.937800e+00	2.543180e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.830480e+01	2.468370e+01	1.137280e+01	5.555600e+00	2.223350e+01	9.735600e+00	4.593500e+00	3.238600e+00	4.086100e+00	4.455816e+02	3.300000e+01	4.000000e+00	5.000000e+00	7.000000e+00	6.559300e+00	-1.460310e+01	-2.007930e+01	4.000000e+00	1.000000e+00	1.937800e+00	2.727760e+01	1.198700e+01	8.898000e-01	1.238300e+00	5.035800e+00	1.695300e+00	2.209000e-01	-4.316000e-01	2.429000e-01	1.277100e+01	0.000000e+00
