Name	    P1	    P2
b1	     0	     0
b14	     0	     1
b15	     0	     1
b16	     0	     0
b18	     0	     1
b19	     0	     0
b20	     0	     0
b21	     0	     0
b22	     1	     0
b23	     0	     1
b3	     1	     1
b4	     0	     0
b5	     1	     1
b6	     0	     0
b7	     0	     0
b8	     0	     0
c10	     0	     0
c101	     0	     0
c103	     0	     1
c104	     0	     0
c105	     1	     0
c106	     1	     0
c107	     0	     0
c11	     0	     0
c110	     1	     0
c111	     0	     0
c112	     0	     0
c113	     0	     0
c114	     0	     0
c115	     0	     0
c116	     1	     0
c118	     0	     0
c12	     1	     0
c123	     0	     0
c124	     0	     0
c125	     0	     1
c126	     0	     0
c129	     0	     0
c133	     0	     0
c135	     0	     1
c136	     1	     0
c137	     1	     0
c138	     0	     0
c139	     0	     0
c141	     0	     1
c143	     0	     0
c146	     0	     0
c147	     0	     0
c148	     0	     0
c15	     0	     0
c152	     0	     0
c153	     1	     0
c157	     0	     0
c158	     0	     1
c16	     0	     0
c17	     0	     0
c172	     1	     0
c174	     0	     0
c179	     0	     0
c2	     0	     0
c20	     0	     1
c21	     1	     0
c22	     1	     0
c23	     0	     0
c24	     0	     1
c25	     0	     0
c26	     0	     0
c27	     0	     1
c28	     0	     0
c29	     0	     1
c3	     0	     1
c30	     0	     0
c31	     0	     0
c32	     0	     1
c33	     0	     1
c34	     0	     0
c36	     0	     0
c37	     1	     0
c39	     1	     0
c4	     0	     0
c40	     0	     0
c41	     0	     0
c42	     0	     0
c43	     0	     0
c44	     0	     0
c45	     0	     0
c49	     0	     0
c5	     0	     0
c50	     1	     1
c51	     0	     0
c52	     0	     0
c53	     0	     0
c56	     0	     0
c57	     1	     0
c6	     0	     0
c60	     0	     0
c62	     0	     0
c63	     1	     0
c64	     0	     1
c65	     0	     0
c66	     0	     0
c67	     1	     0
c69	     0	     0
c7	     1	     0
c71	     1	     0
c73	     0	     0
c74	     0	     1
c75	     0	     0
c76	     0	     0
c77	     0	     0
c78	     0	     0
c79	     0	     0
c8	     0	     1
c81	     0	     0
c82	     0	     0
c88	     0	     0
c89	     0	     0
c9	     0	     0
c99	     1	     1
