NNET results	2007-3-28 16:11:43
Model 1
 Variable Number: 3
 Hidden Layer: [5 4]

 Train RMS Error: 0.207325
 Train Correct Rate: 0.957016
 Train False Positive: 0.0871369
 Train False Negative: 0.0236364

 Test RMS Error: 0.333333
 Test Correct Rate: 0.888889
 Test False Positive: 0.177419
 Test False Negative: 0.0827586

Training Set	
Name	Actual Act	Calc. Act	Actual Bin	Calculated Bin
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	2	2	2	2
8	2	2	2	2
9	1	1	1	1
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
15	1	1	1	1
16	1	1	1	1
17	1	1	1	1
18	1	1	1	1
19	2	1	2	1
20	2	2	2	2
21	2	2	2	2
22	2	2	2	2
23	2	2	2	2
24	2	2	2	2
25	2	2	2	2
26	1	1	1	1
27	1	1	1	1
28	1	1	1	1
29	1	1	1	1
30	1	1	1	1
31	1	1	1	1
32	1	1	1	1
33	1	1	1	1
34	1	1	1	1
35	1	1	1	1
36	1	1	1	1
37	1	1	1	1
38	1	1	1	1
39	1	1	1	1
40	1	1	1	1
41	1	2	1	2
42	1	1	1	1
43	1	1	1	1
44	1	1	1	1
45	1	1	1	1
46	2	2	2	2
47	2	2	2	2
48	1	1	1	1
49	1	1	1	1
50	1	1	1	1
51	1	1	1	1
52	1	1	1	1
53	2	2	2	2
54	1	1	1	1
55	1	1	1	1
56	1	1	1	1
57	2	2	2	2
58	2	2	2	2
59	1	1	1	1
60	1	1	1	1
61	1	1	1	1
62	1	1	1	1
63	1	1	1	1
64	1	1	1	1
65	1	1	1	1
66	1	1	1	1
67	1	1	1	1
68	1	1	1	1
69	1	1	1	1
70	1	1	1	1
71	1	1	1	1
72	1	1	1	1
73	1	1	1	1
74	1	1	1	1
75	1	1	1	1
76	1	1	1	1
77	1	1	1	1
78	1	1	1	1
79	1	1	1	1
80	1	1	1	1
81	1	1	1	1
82	1	1	1	1
83	1	1	1	1
84	2	1	2	1
85	2	1	2	1
86	2	1	2	1
87	1	1	1	1
88	1	1	1	1
89	1	1	1	1
90	1	1	1	1
91	1	1	1	1
92	1	1	1	1
93	1	1	1	1
94	1	1	1	1
95	1	1	1	1
96	1	1	1	1
97	1	1	1	1
98	1	1	1	1
99	1	2	1	2
100	1	1	1	1
101	1	1	1	1
102	1	1	1	1
103	1	1	1	1
104	1	1	1	1
105	1	1	1	1
106	1	1	1	1
107	1	1	1	1
108	1	1	1	1
109	1	1	1	1
110	1	1	1	1
111	1	1	1	1
112	2	2	2	2
113	2	2	2	2
114	1	1	1	1
115	1	1	1	1
116	2	1	2	1
117	1	1	1	1
118	1	1	1	1
119	1	1	1	1
120	1	1	1	1
121	1	1	1	1
122	1	1	1	1
123	1	1	1	1
124	1	1	1	1
125	2	2	2	2
126	2	2	2	2
127	2	1	2	1
128	1	1	1	1
129	1	1	1	1
130	1	1	1	1
131	1	1	1	1
132	1	1	1	1
133	1	1	1	1
134	2	2	2	2
135	2	2	2	2
136	2	2	2	2
137	1	1	1	1
138	1	1	1	1
139	1	1	1	1
140	1	1	1	1
141	1	1	1	1
142	1	1	1	1
143	1	1	1	1
144	1	1	1	1
145	1	1	1	1
146	1	1	1	1
147	1	1	1	1
148	1	1	1	1
149	1	1	1	1
150	1	1	1	1
151	1	1	1	1
152	1	1	1	1
153	1	1	1	1
154	1	1	1	1
155	1	1	1	1
156	2	2	2	2
157	2	2	2	2
158	2	2	2	2
159	2	2	2	2
160	2	2	2	2
161	2	2	2	2
162	1	1	1	1
163	1	1	1	1
164	1	1	1	1
165	1	1	1	1
166	1	1	1	1
167	1	1	1	1
168	1	1	1	1
169	1	1	1	1
170	1	1	1	1
171	1	1	1	1
172	1	1	1	1
173	2	2	2	2
174	2	2	2	2
175	2	2	2	2
176	1	2	1	2
177	1	1	1	1
178	1	1	1	1
179	2	2	2	2
180	2	2	2	2
181	2	2	2	2
182	2	2	2	2
183	2	2	2	2
184	2	2	2	2
185	1	2	1	2
186	1	1	1	1
187	2	2	2	2
188	1	1	1	1
189	1	1	1	1
190	1	1	1	1
191	1	1	1	1
192	1	1	1	1
193	1	1	1	1
194	1	1	1	1
195	1	1	1	1
196	2	2	2	2
197	2	2	2	2
198	2	2	2	2
199	2	2	2	2
200	2	2	2	2
201	2	2	2	2
202	1	1	1	1
203	1	1	1	1
204	1	1	1	1
205	1	1	1	1
206	2	2	2	2
207	2	2	2	2
208	1	1	1	1
209	1	1	1	1
210	1	1	1	1
211	2	2	2	2
212	2	2	2	2
213	2	2	2	2
214	2	2	2	2
215	1	1	1	1
216	1	1	1	1
217	1	1	1	1
218	1	1	1	1
219	1	1	1	1
220	1	1	1	1
221	1	2	1	2
222	2	2	2	2
223	2	2	2	2
224	1	2	1	2
225	1	1	1	1
226	1	1	1	1
227	2	2	2	2
228	2	2	2	2
229	1	1	1	1
230	1	1	1	1
231	1	1	1	1
232	2	1	2	1
233	2	2	2	2
234	2	2	2	2
235	2	2	2	2
236	2	2	2	2
237	2	2	2	2
238	1	1	1	1
239	1	1	1	1
240	2	2	2	2
241	2	2	2	2
242	1	1	1	1
243	1	1	1	1
244	1	1	1	1
245	1	1	1	1
246	1	1	1	1
247	1	1	1	1
248	1	1	1	1
249	1	1	1	1
250	1	1	1	1
251	1	1	1	1
252	1	1	1	1
253	1	1	1	1
254	1	1	1	1
255	1	1	1	1
256	1	1	1	1
257	1	1	1	1
258	1	1	1	1
259	1	1	1	1
260	1	1	1	1
261	1	1	1	1
262	1	1	1	1
263	1	1	1	1
264	1	1	1	1
265	1	1	1	1
266	1	1	1	1
267	1	1	1	1
268	1	1	1	1
269	1	1	1	1
270	2	2	2	2
271	1	1	1	1
272	1	1	1	1
273	1	1	1	1
274	1	1	1	1
275	1	1	1	1
276	2	2	2	2
277	2	2	2	2
278	2	2	2	2
279	2	2	2	2
280	1	1	1	1
281	2	2	2	2
282	2	2	2	2
283	2	2	2	2
284	2	2	2	2
285	2	2	2	2
286	2	2	2	2
287	2	2	2	2
288	2	2	2	2
289	2	2	2	2
290	2	2	2	2
291	2	1	2	1
292	2	2	2	2
293	2	2	2	2
294	2	1	2	1
295	2	1	2	1
296	2	2	2	2
297	2	2	2	2
298	2	2	2	2
299	1	1	1	1
300	1	1	1	1
301	1	1	1	1
302	1	1	1	1
303	2	2	2	2
304	2	2	2	2
305	1	2	1	2
306	1	1	1	1
307	1	1	1	1
308	1	1	1	1
309	1	1	1	1
310	1	1	1	1
311	2	2	2	2
312	1	1	1	1
313	1	1	1	1
314	1	1	1	1
315	1	1	1	1
316	1	1	1	1
317	1	1	1	1
318	1	1	1	1
319	1	1	1	1
320	1	1	1	1
321	1	1	1	1
322	1	1	1	1
323	1	1	1	1
324	1	1	1	1
325	1	1	1	1
326	1	1	1	1
327	1	1	1	1
328	1	1	1	1
329	1	1	1	1
330	1	1	1	1
331	1	1	1	1
332	1	1	1	1
333	1	1	1	1
334	1	1	1	1
335	1	1	1	1
336	1	1	1	1
337	2	2	2	2
338	2	2	2	2
339	1	1	1	1
340	1	1	1	1
341	1	1	1	1
342	1	1	1	1
343	1	1	1	1
344	1	1	1	1
345	1	1	1	1
346	1	1	1	1
347	1	1	1	1
348	1	1	1	1
349	1	1	1	1
350	1	1	1	1
351	1	1	1	1
352	1	1	1	1
353	1	1	1	1
354	1	1	1	1
355	1	1	1	1
356	1	1	1	1
357	1	1	1	1
358	1	1	1	1
359	1	1	1	1
360	1	1	1	1
361	1	1	1	1
362	1	1	1	1
363	2	2	2	2
364	2	2	2	2
365	2	2	2	2
366	2	2	2	2
367	2	2	2	2
368	1	1	1	1
369	1	1	1	1
370	1	1	1	1
371	1	1	1	1
372	1	1	1	1
373	1	1	1	1
374	1	1	1	1
375	1	1	1	1
376	1	1	1	1
377	2	2	2	2
378	1	1	1	1
379	1	1	1	1
380	2	2	2	2
381	2	2	2	2
382	2	2	2	2
383	2	2	2	2
384	2	2	2	2
385	2	2	2	2
386	2	2	2	2
387	1	1	1	1
388	1	1	1	1
389	1	1	1	1
390	1	1	1	1
391	1	1	1	1
392	2	2	2	2
393	2	2	2	2
394	2	2	2	2
395	1	1	1	1
396	1	1	1	1
397	1	1	1	1
398	1	1	1	1
399	1	1	1	1
400	1	1	1	1
401	1	1	1	1
402	1	1	1	1
403	2	2	2	2
404	1	1	1	1
405	1	1	1	1
406	2	1	2	1
407	1	1	1	1
408	2	2	2	2
409	2	1	2	1
410	2	1	2	1
411	2	2	2	2
412	2	2	2	2
413	2	2	2	2
414	2	2	2	2
415	1	1	1	1
416	1	1	1	1
417	2	2	2	2
418	2	2	2	2
419	2	2	2	2
420	1	2	1	2
421	1	1	1	1
422	1	1	1	1
423	1	1	1	1
424	2	2	2	2
425	2	2	2	2
426	2	2	2	2
427	2	2	2	2
428	2	2	2	2
429	2	2	2	2
430	2	2	2	2
431	1	1	1	1
432	1	1	1	1
433	1	1	1	1
434	1	1	1	1
435	1	1	1	1
436	2	2	2	2
437	2	2	2	2
438	1	1	1	1
439	1	1	1	1
440	1	1	1	1
441	1	1	1	1
442	1	1	1	1
443	1	1	1	1
444	1	1	1	1
445	1	1	1	1
446	1	1	1	1
447	1	1	1	1
448	2	2	2	2
449	1	1	1	1
450	1	1	1	1
451	1	1	1	1
452	1	1	1	1
453	1	1	1	1
454	1	1	1	1
455	1	1	1	1
456	2	1	2	1
457	2	2	2	2
458	2	2	2	2
459	1	2	1	2
460	1	1	1	1
461	2	2	2	2
462	2	2	2	2
463	2	2	2	2
464	2	2	2	2
465	2	2	2	2
466	2	2	2	2
467	2	2	2	2
468	2	2	2	2
469	2	2	2	2
470	2	1	2	1
471	2	2	2	2
472	2	2	2	2
473	2	2	2	2
474	2	2	2	2
475	2	2	2	2
476	2	2	2	2
477	2	2	2	2
478	1	1	1	1
479	1	1	1	1
480	1	1	1	1
481	1	1	1	1
482	1	1	1	1
483	1	1	1	1
484	1	1	1	1
485	1	1	1	1
486	1	1	1	1
487	1	1	1	1
488	1	1	1	1
489	1	1	1	1
490	1	1	1	1
491	1	1	1	1
492	1	1	1	1
493	2	2	2	2
494	2	2	2	2
495	2	2	2	2
496	1	2	1	2
497	2	2	2	2
498	1	1	1	1
499	1	1	1	1
500	1	1	1	1
501	1	1	1	1
502	1	1	1	1
503	1	1	1	1
504	2	2	2	2
505	2	2	2	2
506	2	1	2	1
507	1	1	1	1
508	1	1	1	1
509	1	2	1	2
510	2	2	2	2
511	2	2	2	2
512	2	2	2	2
513	2	2	2	2
514	2	2	2	2
515	2	2	2	2
516	2	2	2	2
517	2	2	2	2
518	2	2	2	2
519	2	2	2	2
520	1	1	1	1
521	1	1	1	1
522	1	1	1	1
523	1	1	1	1
524	1	1	1	1
525	2	2	2	2
526	2	2	2	2
527	2	2	2	2
528	1	1	1	1
529	1	1	1	1
530	1	1	1	1
531	1	1	1	1
532	1	1	1	1
533	1	1	1	1
534	1	1	1	1
535	1	1	1	1
536	1	1	1	1
537	1	1	1	1
538	1	1	1	1
539	1	1	1	1
540	1	1	1	1
541	1	1	1	1
542	1	1	1	1
543	1	1	1	1
544	1	1	1	1
545	1	1	1	1
546	1	1	1	1
547	1	1	1	1
548	2	2	2	2
549	2	2	2	2
550	2	2	2	2
551	1	1	1	1
552	1	1	1	1
553	1	1	1	1
554	1	1	1	1
555	1	1	1	1
556	1	1	1	1
557	1	1	1	1
558	1	1	1	1
559	1	1	1	1
560	1	1	1	1
561	1	1	1	1
562	1	1	1	1
563	1	1	1	1
564	1	1	1	1
565	1	2	1	2
566	1	1	1	1
567	2	2	2	2
568	2	2	2	2
569	2	2	2	2
570	2	2	2	2
571	2	1	2	1
572	2	2	2	2
573	2	2	2	2
574	2	2	2	2
575	2	2	2	2
576	2	2	2	2
577	2	2	2	2
578	2	2	2	2
579	1	1	1	1
580	1	1	1	1
581	1	1	1	1
582	1	1	1	1
583	1	1	1	1
584	1	1	1	1
585	1	1	1	1
586	1	1	1	1
587	1	1	1	1
588	1	1	1	1
589	1	1	1	1
590	1	1	1	1
591	1	1	1	1
592	1	1	1	1
593	1	1	1	1
594	1	1	1	1
595	1	1	1	1
596	1	1	1	1
597	1	1	1	1
598	1	1	1	1
599	1	1	1	1
600	1	1	1	1
601	1	1	1	1
602	2	2	2	2
603	2	1	2	1
604	1	1	1	1
605	1	1	1	1
606	1	1	1	1
607	2	2	2	2
608	2	2	2	2
609	2	2	2	2
610	2	2	2	2
611	2	2	2	2
612	2	2	2	2
613	2	2	2	2
614	2	2	2	2
615	2	2	2	2
616	1	1	1	1
617	1	1	1	1
618	1	1	1	1
619	1	1	1	1
620	1	1	1	1
621	1	1	1	1
622	1	1	1	1
623	1	1	1	1
624	1	1	1	1
625	1	1	1	1
626	1	1	1	1
627	1	1	1	1
628	1	1	1	1
629	1	1	1	1
630	1	1	1	1
631	1	1	1	1
632	1	1	1	1
633	1	1	1	1
634	1	1	1	1
635	1	1	1	1
636	1	2	1	2
637	2	2	2	2
638	2	2	2	2
639	2	2	2	2
640	1	1	1	1
641	1	1	1	1
642	1	1	1	1
643	1	1	1	1
644	1	1	1	1
645	1	1	1	1
646	1	1	1	1
647	1	1	1	1
648	1	1	1	1
649	1	1	1	1
650	1	1	1	1
651	1	1	1	1
652	1	1	1	1
653	2	2	2	2
654	2	2	2	2
655	1	1	1	1
656	1	1	1	1
657	1	1	1	1
658	1	1	1	1
659	1	1	1	1
660	1	1	1	1
661	2	2	2	2
662	1	1	1	1
663	1	1	1	1
664	1	1	1	1
665	1	1	1	1
666	1	1	1	1
667	1	1	1	1
668	1	1	1	1
669	1	1	1	1
670	1	1	1	1
671	1	1	1	1
672	1	1	1	1
673	1	1	1	1
674	1	1	1	1
675	1	1	1	1
676	1	1	1	1
677	1	1	1	1
678	1	1	1	1
679	1	1	1	1
680	1	1	1	1
681	1	1	1	1
682	1	1	1	1
683	1	1	1	1
684	1	1	1	1
685	1	1	1	1
686	1	1	1	1
687	1	1	1	1
688	1	1	1	1
689	1	1	1	1
690	1	1	1	1
691	1	1	1	1
692	1	1	1	1
693	1	1	1	1
694	2	2	2	2
695	2	2	2	2
696	2	2	2	2
697	2	2	2	2
698	1	1	1	1
699	1	1	1	1
700	1	1	1	1
701	1	1	1	1
702	1	1	1	1
703	2	2	2	2
704	2	2	2	2
705	2	1	2	1
706	2	2	2	2
707	2	2	2	2
708	2	2	2	2
709	2	2	2	2
710	1	1	1	1
711	1	1	1	1
712	1	1	1	1
713	1	1	1	1
714	1	1	1	1
715	1	1	1	1
716	1	1	1	1
717	1	1	1	1
718	1	1	1	1
719	1	1	1	1
720	1	1	1	1
721	1	1	1	1
722	1	1	1	1
723	1	1	1	1
724	1	1	1	1
725	1	1	1	1
726	1	1	1	1
727	1	1	1	1
728	1	1	1	1
729	1	1	1	1
730	1	1	1	1
731	2	2	2	2
732	2	2	2	2
733	2	2	2	2
734	1	1	1	1
735	1	1	1	1
736	1	1	1	1
737	1	1	1	1
738	1	1	1	1
739	1	1	1	1
740	1	1	1	1
741	2	2	2	2
742	2	2	2	2
743	2	2	2	2
744	2	2	2	2
745	2	2	2	2
746	2	2	2	2
747	2	2	2	2
748	2	2	2	2
749	2	2	2	2
750	2	2	2	2
751	2	2	2	2
752	2	2	2	2
753	2	2	2	2
754	2	2	2	2
755	2	2	2	2
756	2	2	2	2
757	2	2	2	2
758	2	2	2	2
759	1	1	1	1
760	1	1	1	1
761	1	1	1	1
762	1	1	1	1
763	1	1	1	1
764	1	1	1	1
765	1	1	1	1
766	1	1	1	1
767	1	1	1	1
768	1	1	1	1
769	1	1	1	1
770	1	1	1	1
771	1	1	1	1
772	1	1	1	1
773	1	1	1	1
774	1	1	1	1
775	1	1	1	1
776	1	1	1	1
777	1	1	1	1
778	1	1	1	1
779	1	1	1	1
780	1	1	1	1
781	1	1	1	1
782	1	1	1	1
783	2	2	2	2
784	1	1	1	1
785	1	1	1	1
786	1	1	1	1
787	1	1	1	1
788	2	2	2	2
789	2	1	2	1
790	2	1	2	1
791	2	2	2	2

Test Set
Name	Actual Act	Calc. Act	Actual Bin	Calculated Bin
792	1	1	1	1
793	1	1	1	1
794	1	1	1	1
795	1	1	1	1
796	2	2	2	2
797	1	1	1	1
798	1	1	1	1
799	1	1	1	1
800	1	1	1	1
801	1	1	1	1
802	1	2	1	2
803	2	2	2	2
804	2	2	2	2
805	2	2	2	2
806	2	1	2	1
807	1	1	1	1
808	1	1	1	1
809	2	2	2	2
810	1	1	1	1
811	1	1	1	1
812	1	1	1	1
813	2	1	2	1
814	2	2	2	2
815	1	1	1	1
816	1	1	1	1
817	1	1	1	1
818	1	1	1	1
819	1	1	1	1
820	1	1	1	1
821	1	1	1	1
822	1	1	1	1
823	1	1	1	1
824	1	1	1	1
825	1	1	1	1
826	1	1	1	1
827	1	1	1	1
828	1	2	1	2
829	1	1	1	1
830	1	1	1	1
831	2	2	2	2
832	1	1	1	1
833	1	1	1	1
834	1	1	1	1
835	1	1	1	1
836	2	1	2	1
837	2	2	2	2
838	2	2	2	2
839	2	2	2	2
840	1	1	1	1
841	1	1	1	1
842	1	1	1	1
843	1	1	1	1
844	1	2	1	2
845	2	2	2	2
846	2	2	2	2
847	2	2	2	2
848	1	1	1	1
849	1	1	1	1
850	1	1	1	1
851	2	1	2	1
852	2	2	2	2
853	1	1	1	1
854	1	1	1	1
